epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5038.23,1.34915,0.99095,0.99893,0.71273,0.45824,0.50911,0.2884,1.26157,0.69622,0.94989,0.000624928,0.000208309,0.000624928,0.000208309,0.000624928,0.000208309,0.000624928,0.000208309
2,9168.75,1.27715,0.73069,0.95451,0.6292,0.48151,0.53498,0.30705,1.24624,0.66867,0.94142,0.00100244,0.000334148,0.00100244,0.000334148,0.00100244,0.000334148,0.00100244,0.000334148
3,13073.8,1.26927,0.71496,0.95089,0.74394,0.48076,0.54339,0.3132,1.23837,0.65646,0.9398,0.00113246,0.000377486,0.00113246,0.000377486,0.00113246,0.000377486,0.00113246,0.000377486
4,16912,1.2579,0.69702,0.94474,0.75677,0.4907,0.5546,0.32015,1.22873,0.64253,0.93354,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375
5,20753.3,1.23973,0.67466,0.93773,0.65255,0.49998,0.56206,0.32652,1.22223,0.63373,0.9316,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013
