epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3598.06,1.62859,1.19214,1.15118,0.55424,0.19201,0.20286,0.1135,1.40725,0.92623,1.05878,0.00333296,0.00333296,0.0700034
2,7048.31,1.49193,1.00639,1.08765,0.56798,0.30607,0.31147,0.17186,1.30336,0.77766,1.01842,0.00603608,0.00603608,0.0393732
3,10461.9,1.40864,0.8997,1.05041,0.65442,0.33179,0.38948,0.23097,1.26437,0.72004,0.99897,0.00657939,0.00657939,0.00658313
4,13865.4,1.34577,0.81974,1.0226,0.63258,0.39009,0.42817,0.26313,1.23987,0.68557,0.98595,0.00352037,0.00352037,0.00352037
5,17267.9,1.29675,0.76007,1.00448,0.59622,0.45887,0.46049,0.28304,1.22838,0.66771,0.97984,0.00104537,0.00104537,0.00104537
