epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1407.47,1.66642,2.00218,1.07868,0.46586,0.2546,0.25191,0.14,1.49378,1.03903,0.98304,0.000624857,0.000208286,0.000624857,0.000208286,0.000624857,0.000208286,0.000624857,0.000208286
2,2556.85,1.52249,1.14505,1.00821,0.57985,0.30507,0.31972,0.17393,1.44274,0.94008,0.96682,0.00100239,0.000334128,0.00100239,0.000334128,0.00100239,0.000334128,0.00100239,0.000334128
3,3613.94,1.48747,1.04872,0.99332,0.59682,0.32589,0.34624,0.18968,1.42093,0.89388,0.95933,0.00113241,0.000377471,0.00113241,0.000377471,0.00113241,0.000377471,0.00113241,0.000377471
4,4637.64,1.46151,0.98998,0.98601,0.62193,0.33899,0.36398,0.19877,1.40243,0.86759,0.95366,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375
5,5660.88,1.44573,0.95525,0.97939,0.6243,0.34345,0.37255,0.20442,1.39408,0.85296,0.95036,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013
